iter	Passed	Remaining
442	1212	1524
443	1214	1521
444	1216	1517
445	1218	1513
446	1220	1510
447	1223	1507
448	1225	1503
449	1227	1500
450	1229	1496
451	1231	1493
452	1233	1489
453	1240	1491
454	1242	1488
455	1244	1485
456	1246	1481
457	1255	1486
458	1258	1483
459	1260	1479
460	1262	1475
461	1264	1472
462	1268	1470
463	1270	1467
464	1272	1464
465	1274	1460
466	1276	1456
467	1278	1453
468	1280	1449
469	1284	1448
470	1286	1444
471	1287	1440
472	1289	1436
473	1291	1433
474	1293	1429
475	1294	1425
476	1298	1423
477	1299	1419
478	1301	1415
479	1303	1412
480	1305	1408
481	1307	1404
482	1308	1400
483	1311	1397
484	1313	1395
485	1315	1391
486	1317	1387
487	1319	1383
488	1320	1380
489	1322	1376
490	1325	1373
491	1329	1372
492	1331	1368
493	1333	1365
494	1335	1362
495	1336	1358
496	1338	1354
497	1340	1351
498	1343	1349
499	1345	1345
500	1347	1342
501	1349	1338
502	1351	1334
503	1352	1331
504	1354	1327
505	1357	1325
506	1360	1322
507	1361	1318
508	1364	1315
509	1365	1312
510	1367	1308
511	1369	1305
512	1371	1301
513	1374	1299
514	1375	1295
515	1377	1292
516	1379	1288
517	1381	1285
518	1383	1281
519	1384	1278
520	1388	1276
521	1389	1272
522	1391	1269
523	1393	1265
524	1395	1262
525	1397	1259
526	1398	1255
527	1400	1252
528	1403	1249
529	1405	1246
530	1407	1243
531	1409	1239
532	1411	1236
533	1412	1232
534	1414	1229
535	1416	1225
536	1418	1223
537	1420	1219
538	1422	1216
539	1424	1213
540	1425	1209
541	1427	1206
542	1429	1202
543	1431	1199
544	1434	1197
545	1435	1193
546	1437	1190
547	1439	1187
548	1441	1183
549	1442	1180
550	1444	1177
551	1446	1174
552	1449	1171
553	1450	1167
554	1452	1164
555	1454	1161
556	1456	1158
557	1458	1154
558	1459	1151
559	1462	1149
560	1464	1145
561	1465	1142
562	1467	1138
563	1468	1135
564	1470	1132
565	1471	1128
566	1473	1125
567	1475	1121
568	1478	1119
569	1479	1116
570	1481	1113
571	1483	1109
572	1485	1106
573	1486	1103
574	1488	1100
575	1491	1098
576	1493	1095
577	1495	1092
578	1497	1088
579	1499	1085
580	1500	1082
581	1502	1079
582	1504	1075
583	1506	1073
584	1511	1072
585	1513	1069
586	1515	1066
587	1517	1062
588	1518	1059
589	1520	1056
590	1522	1053
591	1524	1050
592	1525	1047
593	1528	1044
594	1530	1041
595	1531	1038
596	1533	1035
597	1536	1033
598	1538	1030
599	1540	1026
600	1542	1023
601	1544	1020
602	1545	1017
603	1547	1014
604	1548	1011
605	1552	1009
606	1553	1006
607	1555	1002
608	1557	999
609	1558	996
610	1560	993
611	1561	990
612	1563	987
613	1566	984
614	1568	981
615	1570	978
616	1571	975
617	1573	972
618	1574	969
619	1576	966
620	1577	963
621	1579	960
622	1582	957
623	1583	954
624	1585	951
625	1587	948
626	1588	945
627	1590	942
628	1592	939
629	1596	937
630	1599	935
631	1601	932
632	1603	929
633	1605	926
634	1607	923
635	1609	921
636	1612	918
637	1614	916
638	1617	913
639	1622	912
640	1624	909
641	1630	908
642	1632	906
643	1633	903
644	1635	900
645	1637	897
646	1638	894
647	1642	892
648	1644	889
649	1646	886
650	1647	883
651	1649	880
652	1651	877
653	1652	874
654	1659	874
655	1663	872
656	1664	869
657	1666	866
658	1668	863
659	1678	864
660	1681	862
661	1684	859
662	1686	856
663	1691	855
664	1693	852
665	1694	849
666	1696	847
667	1698	844
668	1700	841
669	1706	840
670	1708	837
671	1710	834
672	1711	831
673	1714	829
674	1715	826
675	1720	824
676	1722	821
677	1724	818
678	1726	816
679	1729	814
680	1734	812
681	1737	809
682	1738	807
683	1740	804
684	1742	801
685	1744	798
686	1745	795
687	1749	793
688	1751	790
689	1754	788
690	1756	785
691	1758	782
692	1760	779
693	1764	777
694	1766	775
695	1768	772
696	1770	769
697	1771	766
698	1773	763
699	1774	760
700	1776	757
701	1779	755
702	1781	752
703	1783	749
704	1784	746
705	1786	743
706	1787	740
707	1789	738
708	1791	735
709	1796	733
710	1798	731
711	1800	728
712	1801	725
713	1803	722
714	1805	719
715	1808	717
716	1811	714
717	1813	712
718	1815	709
719	1817	706
720	1818	703
721	1820	700
722	1823	698
723	1825	695
724	1827	693
725	1828	690
726	1830	687
727	1831	684
728	1833	681
729	1835	678
730	1837	676
731	1839	673
732	1841	670
733	1842	667
734	1844	664
735	1846	662
736	1847	659
737	1849	656
738	1850	653
739	1856	652
740	1857	649
741	1859	646
742	1861	643
743	1863	641
744	1864	638
745	1867	635
746	1869	633
747	1871	630
748	1872	627
749	1874	624
750	1876	622
751	1877	619
752	1879	616
753	1881	613
754	1884	611
755	1885	608
756	1887	605
757	1888	603
758	1890	600
759	1892	597
760	1894	594
761	1898	592
762	1900	590
763	1902	587
764	1904	584
765	1906	582
766	1907	579
767	1909	576
768	1910	573
769	1913	571
770	1915	568
771	1916	566
772	1918	563
773	1920	560
774	1921	557
775	1923	555
776	1924	552
777	1926	549
778	1928	547
779	1930	544
780	1931	541
781	1933	539
782	1935	536
783	1936	533
784	1938	530
785	1940	528
786	1943	525
787	1944	523
788	1946	520
789	1948	517
790	1949	515
791	1951	512
792	1952	509
793	1954	507
794	1957	504
795	1959	502
796	1960	499
797	1962	496
798	1964	494
799	1965	491
800	1967	488
801	1968	486
802	1970	483
803	1973	480
804	1975	478
805	1976	475
806	1978	473
807	1979	470
808	1981	467
809	1982	465
810	1984	462
811	1988	460
812	1990	457
813	1992	455
814	1993	452
815	1995	449
816	1996	447
817	1998	444
818	1999	441
819	2002	439
820	2004	437
821	2006	434
822	2008	431
823	2010	429
824	2011	426
825	2013	424
826	2014	421
827	2017	419
828	2019	416
829	2021	413
830	2023	411
831	2024	408
832	2026	406
833	2027	403
834	2029	401
835	2032	398
836	2034	396
837	2036	393
838	2037	391
839	2039	388
840	2040	385
841	2042	383
842	2043	380
843	2046	378
844	2048	375
845	2050	373
846	2052	370
847	2054	368
848	2055	365
849	2057	363
850	2058	360
851	2061	358
852	2063	355
853	2065	353
854	2066	350
855	2068	347
856	2069	345
857	2071	342
858	2073	340
859	2075	337
860	2077	335
861	2079	332
862	2080	330
863	2082	327
864	2084	325
865	2085	322
866	2087	320
867	2089	317
868	2092	315
869	2094	312
870	2096	310
871	2098	308
872	2099	305
873	2101	302
874	2103	300
875	2106	298
876	2108	295
877	2110	293
878	2111	290
879	2113	288
880	2114	285
881	2116	283
882	2118	280
883	2122	278
884	2124	276
885	2126	273
886	2127	271
887	2129	268
888	2131	266
889	2132	263
890	2135	261
891	2137	258
892	2139	256
893	2140	253
894	2142	251
895	2143	248
896	2145	246
897	2146	243
898	2149	241
899	2151	239
900	2153	236
901	2154	234
902	2156	231
903	2158	229
904	2159	226
905	2161	224
906	2163	221
907	2166	219
908	2167	217
909	2169	214
910	2170	212
911	2172	209
912	2174	207
913	2175	204
914	2177	202
915	2180	199
916	2182	197
